TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
36,Thân mềm,TB.036,Harpidae,Harpa major,"(Roeding, 1798)",Ốc khế lớn,Vùng biển Nghệ An,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 6-8 cm. Mẫu lớn nhất có kích cỡ đạt tới 11 cm
Sinh học, sinh thái: Sống nơi đáy cát, độ sâu từ 5-30 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Nghệ An, Hà Tĩnh, Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
37,Thân mềm,TB.037,Mitridae,Mitra papalis,"(Linnaeus, 1758)",Ốc ớt đỏ có ngấn,Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 10-14 cm. Mẫu lớn nhất có kích cỡ đạt tới 16 cm
Sinh học, sinh thái: Sống nơi đáy cát vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
38,Thân mềm,TB.038,Mitridae,Mitra mitra,"(Linnaeus, 1758)",Ốc ớt chấm cam,Vùng biển Bình Định,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 9-11 cm. Mẫu lớn nhất có kích cỡ đạt tới 13 cm
Sinh học, sinh thái: Sống ở đáy cát vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Bình Định, Khánh Hòa, Ninh Thuận, Phú Quý, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
39,Thân mềm,TB.039,Muricidae,Murex pecten,"(Lightfoot, 1786)",Ốc gai lược,Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 8-10 cm. Mẫu lớn nhất có kích cỡ đạt tới 13 cm
Sinh học, sinh thái: Sống nơi đáy cát, độ sâu từ 10-50 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, vv….
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
40,Thân mềm,TB.040,Muricidae,Rapana rapiformis,"(Born, 1778)",Ốc gai miệng rộng,Vùng biển Nghệ An,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 8-10 cm. Mẫu lớn nhất có kích cỡ đạt tới 14 cm
Sinh học, sinh thái: Sống ở nơi đáy bùn cát, vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Đông Nam Á; Đông Ấn Độ Dương - Việt Nam: Vùng biển Nghệ An, Hà Tĩnh, Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
41,Thân mềm,TB.041,Muricidae,Haustellum haustellum,"(Linnaeus, 1758)",Ốc ống điếu,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 10-12 cm. Mẫu lớn nhất có kích cỡ đạt tới 14 cm
Sinh học, sinh thái: Sống ở vùng dưới triều đến độ sâu 100 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, vv….
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
42,Thân mềm,TB.042,Muricidae,Chicoreus asianus,"(Kuroda, 1942)",Ốc gai trắng nhỏ,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 9-12 cm. Mẫu lớn nhất có kích cỡ đạt tới 15 cm
Sinh học, sinh thái: Sống ở các rạn đá, vùng dưới triều đến độ sâu 30 m
Phân bố: - Thế giới: Vùng biển Đài Loan, Trung Quốc - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
43,Thân mềm,TB.043,Ovulidae,Ovula ovum,"(Linnaeus, 1758)",Ốc sứ trắng,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 6-8 cm. Mẫu lớn nhất có kích cỡ đạt tới 13 cm
Sinh học, sinh thái: Sống trong rạn san hô, vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, vv….
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
44,Thân mềm,TB.044,Rostellariidae,Tibia fusus,"(Linnaeus, 1758)",Ốc ngòi viết,Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 15-18cm. Mẫu lớn nhất có kích cỡ đạt tới 25 cm
Sinh học, sinh thái: Sống ở đáy cát, độ sâu từ 5-50 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
45,Thân mềm,TB.045,Strombidae,Lambis crocata,"(Link, 1807)",Ốc tắc kè cam,Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 13-18 cm. Mẫu lớn nhất có kích cỡ đạt tới 20 cm
Sinh học, sinh thái: Sống ở rạn san hô, vùng triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ – Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Bình Thuận, Phú Quốc, vv
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
46,Thân mềm,TB.046,Strombidae,Lambis scorpius,"(Linnaeus, 1758)",Ốc tắc kè  (ốc bò cạp),Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 13-18 cm. Mẫu lớn nhất có kích cỡ đạt tới 25cm
Sinh học, sinh thái: Sống ở đáy cát trong vùng rạn san hô
Phân bố: -Thế giới: Vùng biển Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Côn Đảo, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
47,Thân mềm,TB.047,Strombidae,Lentigo lentiginosus,"(Linnaeus, 1758)",Ốc nhảy da cóc,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 7-8 cm. Mẫu lớn nhất có kích cỡ đạt tới 9 cm
Sinh học, sinh thái: Sống đáy cát vùng rạn san hô
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
48,Thân mềm,TB.048,Strombidae,Sinustrombus latissimus,"(Linnaeus, 1758)",Ốc bẹ trơn,Vùng biển Khánh Hòa,,,,,,,1,1,,"Màu sắc, đặc điểm: trung bình 15-17 cm. Mẫu lớn nhất có kích cỡ đạt tới 20 cm
Sinh học, sinh thái: Sống ở rạn san hô, độ sâu 10 m
Phân bố: - Thế giới: Vùng biển Tây Nam Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Bình Thuận, vv…
Ứng dụng: dùng làm thực phẩm và hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
49,Thân mềm,TB.049,Strombidae,Sinustrombus sinuatus,"(Humphrey, 1786)",Ốc nhảy miệng tím,Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 10-12 cm. Mẫu lớn nhất có kích cỡ đạt tới 15 cm
Sinh học, sinh thái: Sống ở đáy cát nơi có rạn san hô, vùng dưới triều, độ sâu từ 5 -17 m nước. Sống ở rạn san hô, vùng triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Tây Nam Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
50,Thân mềm,TB.050,Strombidae,Strombus aratrum,"(Roeding, 1798)",Ốc én đen,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 7-8 cm. Mẫu lớn nhất có kích cỡ đạt tới 11 cm
Sinh học, sinh thái: Sống ở đáy cát vùng rạn san hô, độ sâu từ 1-20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, Côn Đảo, vv….
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
51,Thân mềm,TB.051,Strombidae,Strombus bulla,"(Roeding, 1798)",Ốc én trắng miệng đỏ,Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 6-7 cm. Mẫu lớn nhất có kích cỡ đạt tới 8 cm
Sinh học, sinh thái: Sống ở đáy cát, đọ sâu 1-20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
52,Thân mềm,TB.052,Tegulidae,Tectus pyramis,"(Born, 1778)",Ốc đụn đực,Vùng biển Quảng Ninh,,,,,,,1,1,,"Màu sắc, đặc điểm: trung bình 6-7 cm. Mẫu lớn nhất có kích cỡ đạt tới 10 cm
Sinh học, sinh thái: Sống trên đá ở vùng dưới triều (Okutani, 2000)
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ninh, Hải Phòng, Khánh Hòa, Côn Đảo, vv…
Ứng dụng: dùng làm thực phẩm và hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
53,Thân mềm,TB.053,Terebridae,Terebra maculata,"(Linnaeus, 1758)",Ốc măng lớn,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 12-16 cm. Mẫu lớn nhất có kích cỡ đạt tới 23 cm
Sinh học, sinh thái: Sống nơi đáy cát, vùng triều đến vùng dưới triều
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Phú Quý, Long Hải, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
54,Thân mềm,TB.054,Tonnidae,Tonna galea,"(Linnaeus, 1758)",Ốc dấm nâu,Vùng biển các tỉnh phía Bắc,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 12-20 cm. Mẫu lớn nhất có kích cỡ đạt tới 28 cm
Sinh học, sinh thái: Sống ở nơi đáy cát, độ sâu từ 10-50 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển các tỉnh phía Bắc, Khánh Hòa, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
55,Thân mềm,TB.055,Turbinellidae,Vasum ceramicum,"(Linnaeus, 1758)",Ốc mãng cầu lớn,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 10-13cm. Mẫu lớn nhất có kích cỡ đạt tới 15 cm
Sinh học, sinh thái: Sống trên các gờ rạn đá ở vùng triểu đến độ sâu 5 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Ninh Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
56,Thân mềm,TB.056,Turbinidae,Turbo petholatus,"(Linnaeus, 1758)",Ốc mặt trăng đỏ,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 6-8 cm. Mẫu lớn nhất có kích cỡ đạt tới 12 cm
Sinh học, sinh thái: Sống ở rạn san hô, độ sâu từ 1 đến 30 m
Phân bố: - Thế giới: Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Phú Quốc, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
57,Thân mềm,TB.057,Turbinidae,Bolma girgyllus,"(Reeve, 1861)",Ốc nón gai,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 4-5cm. Mẫu lớn nhất có kích cỡ đạt tới 7 cm
Sinh học, sinh thái: Sống trên đá, độ sâu từ 50-200 m
Phân bố: - Thế giới: Vùng biển Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
58,Thân mềm,TB.058,Volutidae,Callipara kurodai,"(Kawamura, 1964)",Ốc ca-rô,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 8-10 cm. Mẫu lớn nhất có kích cỡ đạt tới 12 cm
Sinh học, sinh thái: Sống nơi đáy bùn, độ sâu từ 40-70 m
Phân bố: - Thế giới: Vùng biển Đài Loan - Việt Nam: Vùng biển Quảng Ngãi, Phú Yên, Khánh Hòa, Ninh Thuận, vv….
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
59,Thân mềm,TB.059,Volutidae,Cymbiola nobilis,"(Lightfoot, 1786)",Ốc sọ dừa,Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 8-12 cm. Mẫu lớn nhất có kích cỡ đạt tới 20 cm.
Sinh học, sinh thái: Sống ở vùng dưới đến độ sâu 100 m
Phân bố: - Thế giới: Vùng biển Đài Loan đến Singapore - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Bình Thuận, Long Hải, Cần Giờ, Phú Quốc, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
60,Thân mềm,TB.060,Volutidae,Melo melo,"(Lightfoot, 1786)",Ốc gáo,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 17-24 cm. Mẫu lớn nhất có kích cỡ đạt tới 30 cm
Sinh học, sinh thái: Vùng dưới triều triều đến độ sâu 70 m
Phân bố: - Thế giới: Biển Đông - Việt Nam: Vùng biển Quảng Ngãi, Bình Định, Phú Yên, Khánh Hòa, Phan Thiết, đảo Phú Quốc, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
61,Thân mềm,TB.061,Pisaniidae,Cantharus melanostoma,"(Sowerby I, 1825)",Ốc đá má đen,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 5-6cm. Mẫu lớn nhất có kích cỡ đạt tới 8 cm
Sinh học, sinh thái: Sống trên các rạn đá, độ sâu từ 1-15 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
62,Thân mềm,TB.062,Conidae,Conus imperialis,"(Linnaeus, 1758)",Ốc cối vua,Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 6-8 cm. Mẫu lớn nhất có kích cỡ đạt tới 10 cm
Sinh học, sinh thái: Sống ở đáy cát và đá vùng rạn san hô, độ sâu từ 1-75 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Côn Đảo, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
63,Thân mềm,TB.063,Cymatiidae,Monoplex pilearis,"(Linnaeus, 1758)",Ốc lông,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 5-7 cm. Mẫu lớn nhất có kích cỡ đạt tới 10 cm
Sinh học, sinh thái: Sống trên đá vùng triều
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương, phía tây Atlantic - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, Côn Đảo, vv….
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
64,Thân mềm,TB.064,Muricidae,Chicoreus brunneus,"(Link, 1807)",Ốc gai đen,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 5-7 cm. Mẫu lớn nhất có kích cỡ đạt tới 10 cm
Sinh học, sinh thái: Sống trên đá vùng triều đến vùng dưới triều
Phân bố: - Thế giới: Vùng biển Tây Nam Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Bình Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
65,Thân mềm,TB.065,Cephalaspidea,Bulla ampulla,"(Linnaeus, 1758)",Ốc trứng tròn nâu,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 3-4 cm. Mẫu lớn nhất có kích cỡ đạt tới 6 cm
Sinh học, sinh thái: Sống ở đáy bùn, trên các rạn đá ở vùng dưới triều đến độ sâu 100 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương, đông nam Atlantic - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, ven biển phía Nam, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
66,Thân mềm,TB.066,Muricidae,Chicoreus microphyllus,"(Lamarck, 1816)",Ốc gai nâu,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 6-8cm. Mẫu lớn nhất có kích cỡ đạt tới 10 cm
Sinh học, sinh thái: Sống ở các rạn đá vùng dưới triều đến độ sâu từ 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
67,Thân mềm,TB.067,Cypraeidae,Cypraea tigris,"(Linnaeus, 1758)",Ốc sứ vân hổ,Vùng biển các tỉnh phía Bắc,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 8 - 12cm. Mẫu lớn nhất có kích cỡ đạt tới 14 cm
Sinh học, sinh thái: Sống trên đá, rạn san hô, vùng triều đến độ sâu 40 m
Phân bố: - Thế giới: Vùng biển Tây Nam Thái Bình Dương - Việt Nam: Vùng biển các tỉnh phía Bắc, Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, Phú Quốc, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
68,Thân mềm,TB.068,Mactridae,Lutraria rhynchaena,"(Jonas, 1844)",Tu hài,Vùng biển Hải Phòng,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 6-8cm. Mẫu lớn nhất có kích cỡ đạt tới 12 cm
Sinh học, sinh thái: Sống ở đáy cát, độ sâu 10-40 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Hải Phòng, Quảng Ninh, Khánh Hòa, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
69,Thân mềm,TB.069,Cardiidae,Vasticardium flavum,"(Linnaeus, 1758)",Sò nứa,Vùng biển Quảng Ninh,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 4-5cm. Mẫu lớn nhất có kích cỡ đạt tới 6 cm
Sinh học, sinh thái: Sống ở đáy cát, vùng triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ninh, Đà Nẵng, Khánh Hòa, Ninh Thuận, Bình Thuận, ven biển các tỉnh phía Nam
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
70,Thân mềm,TB.070,Solenidae,Solen vagina,"(Linnaeus, 1758)",Móng tay,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 6-8cm.
Sinh học, sinh thái: Sống ở đáy cát bùn, vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
71,Thân mềm,TB.071,Babyloniidae,Babylonia areolata,"(Link, 1807)",Ốc hương,Ven biển miền Trung,,,,,,,1,1,,"Màu sắc, đặc điểm: trung bình 6-7cm. Mẫu lớn nhất có kích cỡ đạt tới 9 cm
Sinh học, sinh thái: Sống ở đáy cát, độ sâu 1-15 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Ven biển miền Trung, vv…
Ứng dụng: dùng làm thực phẩm và hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
72,Thân mềm,TB.072,Veneridae,Paratapes undulatus,"(Born, 1778)",Sò lụa,Vùng biển Đà Nẵng,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 5-6cm. Mẫu lớn nhất có kích cỡ đạt tới 7 cm
Sinh học, sinh thái: Sống ở đáy bùn, bùn cát, vùng dưới triều đến độ sâu 50 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Đà Nẵng, Hội an, Khánh Hòa, Bình Thuận, Kiên Giang, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
73,Thân mềm,TB.073,Lucinidae,Austriella corrugata,"(Deshayes, 1843)",Ngán,Vùng biển Hải Phòng,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 5-6cm. Mẫu lớn nhất có kích cỡ đạt tới 6,5 cm
Sinh học, sinh thái: Sống ở đáy cát bùn, vùng triều đến độ sâu 10 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Hải Phòng, Quảng Ninh, Khánh Hòa, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
74,Thân mềm,TB.074,Margaritidae,Pinctada imbricata,"(Gould, 1850)",Trai giấy,Vùng biển Quảng Ninh,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 6-7cm. Mẫu lớn nhất có kích cỡ đạt tới 8 cm
Sinh học, sinh thái: Sống ở các rạn đá, vùng dưới triều triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ninh, Thanh Hóa, Quảng Ngãi, Khánh Hòa, Bình Thuận, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
75,Thân mềm,TB.075,Cypraeidae,Atrina pectinata,"(Linnaeus, 1767)",Bàn mai lược,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 15-20cm. Mẫu lớn nhất có kích cỡ đạt tới 25 cm
Sinh học, sinh thái: Sống ở đáy bùn, độ sâu 10-40 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương; Biển Đen - Việt Nam: Vùng biển Khánh Hòa, ven biển các tỉnh phía Nam vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
76,Thân mềm,TB.076,Veneridae,Meretrix lyrata,"(Sowerby II, 1851)",Nghêu bến tre,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 4-5cm. Mẫu lớn nhất có kích cỡ đạt tới 6 cm
Sinh học, sinh thái: Sống ở đáy bùn, bùn cát, vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, các tỉnh phía Nam, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
